Number,Title,Acceptance,Difficulty,Frequency
1293,Shortest Path in a Grid with Obstacles Elimination,45.20%,Hard,1
772,Basic Calculator III,49.50%,Hard,2
666,Path Sum IV,60.20%,Medium,3
815,Bus Routes,45.50%,Hard,4
799,Champagne Tower,57.90%,Medium,5
2115,Find All Possible Recipes from Given Supplies,48.90%,Medium,6
210,Course Schedule II,49.40%,Medium,7
588,Design In-Memory File System,48.40%,Hard,8
856,Score of Parentheses,64.30%,Medium,9
1345,Jump Game IV,46.60%,Hard,10
2158,Amount of New Area Painted Each Day,54.70%,Hard,11
621,Task Scheduler,57.50%,Medium,12
394,Decode String,58.50%,Medium,13
2096,Step-By-Step Directions From a Binary Tree Node to Another,48.60%,Medium,14
1029,Two City Scheduling,66.10%,Medium,15
1249,Minimum Remove to Make Valid Parentheses,66.30%,Medium,16
418,Sentence Screen Fitting,35.70%,Medium,17
1366,Rank Teams by Votes,57.90%,Medium,18
253,Meeting Rooms II,50.80%,Medium,19
2552,Count Increasing Quadruplets,32.00%,Hard,20
2422,Merge Operations to Turn Array Into a Palindrome,66.50%,Medium,21
424,Longest Repeating Character Replacement,52.70%,Medium,22
146,LRU Cache,41.70%,Medium,23
1944,Number of Visible People in a Queue,68.40%,Hard,24
1861,Rotating the Box,66.40%,Medium,25
834,Sum of Distances in Tree,59.30%,Hard,26
386,Lexicographical Numbers,62.60%,Medium,27
1024,Video Stitching,50.80%,Medium,28
694,Number of Distinct Islands,61.00%,Medium,29
2659,Make Array Empty,24.20%,Hard,30
395,Longest Substring with At Least K Repeating Characters,44.90%,Medium,31
1335,Minimum Difficulty of a Job Schedule,58.30%,Hard,32
301,Remove Invalid Parentheses,47.40%,Hard,33
127,Word Ladder,38.10%,Hard,34
355,Design Twitter,38.50%,Medium,35
23,Merge k Sorted Lists,51.10%,Hard,36
886,Possible Bipartition,50.30%,Medium,37
490,The Maze,57.00%,Medium,38
403,Frog Jump,45.90%,Hard,39
994,Rotting Oranges,53.60%,Medium,40
329,Longest Increasing Path in a Matrix,52.90%,Hard,41
56,Merge Intervals,46.60%,Medium,42
93,Restore IP Addresses,48.60%,Medium,43
662,Maximum Width of Binary Tree,42.70%,Medium,44
739,Daily Temperatures,65.90%,Medium,45
398,Random Pick Index,62.50%,Medium,46
79,Word Search,40.80%,Medium,47
1268,Search Suggestions System,65.80%,Medium,48
560,Subarray Sum Equals K,43.20%,Medium,49
399,Evaluate Division,61.40%,Medium,50
224,Basic Calculator,42.70%,Hard,51
269,Alien Dictionary,35.50%,Hard,52
785,Is Graph Bipartite?,55.10%,Medium,53
3,Longest Substring Without Repeating Characters,34.10%,Medium,54
54,Spiral Matrix,47.80%,Medium,55
316,Remove Duplicate Letters,48.90%,Medium,56
1209,Remove All Adjacent Duplicates in String II,56.70%,Medium,57
670,Maximum Swap,48.00%,Medium,58
51,N-Queens,66.30%,Hard,59
721,Accounts Merge,56.60%,Medium,60
200,Number of Islands,57.90%,Medium,61
378,Kth Smallest Element in a Sorted Matrix,62.00%,Medium,62
139,Word Break,46.30%,Medium,63
130,Surrounded Regions,38.10%,Medium,64
684,Redundant Connection,62.50%,Medium,65
300,Longest Increasing Subsequence,53.40%,Medium,66
207,Course Schedule,46.20%,Medium,67
179,Largest Number,35.30%,Medium,68
896,Monotonic Array,61.10%,Easy,69
658,Find K Closest Elements,46.90%,Medium,70
40,Combination Sum II,53.80%,Medium,71
102,Binary Tree Level Order Traversal,65.80%,Medium,72
417,Pacific Atlantic Water Flow,54.80%,Medium,73
113,Path Sum II,57.70%,Medium,74
695,Max Area of Island,71.90%,Medium,75
32,Longest Valid Parentheses,33.30%,Hard,76
148,Sort List,56.50%,Medium,77
78,Subsets,76.30%,Medium,78
199,Binary Tree Right Side View,62.30%,Medium,79
101,Symmetric Tree,55.40%,Easy,80
22,Generate Parentheses,73.50%,Medium,81
39,Combination Sum,70.10%,Medium,82
380,Insert Delete GetRandom O(1),52.80%,Medium,83
443,String Compression,53.10%,Medium,84
5,Longest Palindromic Substring,32.80%,Medium,85
72,Edit Distance,55.50%,Medium,86
416,Partition Equal Subset Sum,46.20%,Medium,87
10,Regular Expression Matching,27.90%,Hard,88
53,Maximum Subarray,50.40%,Medium,89
98,Validate Binary Search Tree,32.40%,Medium,90
151,Reverse Words in a String,37.40%,Medium,91
213,House Robber II,41.50%,Medium,92
105,Construct Binary Tree from Preorder and Inorder Traversal,62.70%,Medium,93
572,Subtree of Another Tree,47.10%,Easy,94
55,Jump Game,38.60%,Medium,95
347,Top K Frequent Elements,63.00%,Medium,96
124,Binary Tree Maximum Path Sum,39.60%,Hard,97
46,Permutations,77.30%,Medium,98
153,Find Minimum in Rotated Sorted Array,49.60%,Medium,99
42,Trapping Rain Water,60.00%,Hard,100
198,House Robber,50.00%,Medium,101
238,Product of Array Except Self,65.00%,Medium,102
20,Valid Parentheses,40.20%,Easy,103
1,Two Sum,50.90%,Easy,104
