Number,Title,Acceptance,Difficulty,Frequency
314,Binary Tree Vertical Order Traversal,52.80%,Medium,1
1762,Buildings With an Ocean View,79.10%,Medium,2
408,Valid Word Abbreviation,35.00%,Easy,3
1249,Minimum Remove to Make Valid Parentheses,66.30%,Medium,4
680,Valid Palindrome II,39.70%,Easy,5
1570,Dot Product of Two Sparse Vectors,90.20%,Medium,6
528,Random Pick with Weight,46.20%,Medium,7
1650,Lowest Common Ancestor of a Binary Tree III,77.90%,Medium,8
227,Basic Calculator II,42.80%,Medium,9
339,Nested List Weight Sum,82.50%,Medium,10
215,Kth Largest Element in an Array,67.00%,Medium,11
691,Stickers to Spell Word,46.70%,Hard,12
65,Valid Number,19.00%,Hard,13
938,Range Sum of BST,85.90%,Easy,14
71,Simplify Path,41.10%,Medium,15
670,Maximum Swap,48.00%,Medium,16
249,Group Shifted Strings,64.60%,Medium,17
791,Custom Sort String,69.00%,Medium,18
301,Remove Invalid Parentheses,47.40%,Hard,19
236,Lowest Common Ancestor of a Binary Tree,60.50%,Medium,20
708,Insert into a Sorted Circular Linked List,34.90%,Medium,21
138,Copy List with Random Pointer,54.30%,Medium,22
56,Merge Intervals,46.60%,Medium,23
1091,Shortest Path in Binary Matrix,46.70%,Medium,24
766,Toeplitz Matrix,68.50%,Easy,25
973,K Closest Points to Origin,65.90%,Medium,26
50,"Pow(x, n)",34.10%,Medium,27
296,Best Meeting Point,60.10%,Hard,28
129,Sum Root to Leaf Numbers,62.10%,Medium,29
827,Making A Large Island,45.80%,Hard,30
283,Move Zeroes,61.40%,Easy,31
200,Number of Islands,57.90%,Medium,32
426,Convert Binary Search Tree to Sorted Doubly Linked List,64.70%,Medium,33
31,Next Permutation,38.70%,Medium,34
398,Random Pick Index,62.50%,Medium,35
199,Binary Tree Right Side View,62.30%,Medium,36
489,Robot Room Cleaner,76.60%,Hard,37
270,Closest Binary Search Tree Value,53.20%,Easy,38
987,Vertical Order Traversal of a Binary Tree,46.30%,Hard,39
15,3Sum,33.40%,Medium,40
146,LRU Cache,41.70%,Medium,41
523,Continuous Subarray Sum,28.60%,Medium,42
88,Merge Sorted Array,48.10%,Easy,43
162,Find Peak Element,45.80%,Medium,44
133,Clone Graph,55.00%,Medium,45
17,Letter Combinations of a Phone Number,58.80%,Medium,46
348,Design Tic-Tac-Toe,57.70%,Medium,47
317,Shortest Distance from All Buildings,42.70%,Hard,48
560,Subarray Sum Equals K,43.20%,Medium,49
253,Meeting Rooms II,50.80%,Medium,50
415,Add Strings,51.90%,Easy,51
953,Verifying an Alien Dictionary,54.60%,Easy,52
543,Diameter of Binary Tree,58.10%,Easy,53
269,Alien Dictionary,35.50%,Hard,54
480,Sliding Window Median,39.90%,Hard,55
140,Word Break II,46.50%,Hard,56
163,Missing Ranges,32.70%,Easy,57
125,Valid Palindrome,45.80%,Easy,58
173,Binary Search Tree Iterator,70.80%,Medium,59
863,All Nodes Distance K in Binary Tree,64.10%,Medium,60
1011,Capacity To Ship Packages Within D Days,68.50%,Medium,61
1424,Diagonal Traverse II,50.60%,Medium,62
986,Interval List Intersections,71.30%,Medium,63
38,Count and Say,53.40%,Medium,64
34,Find First and Last Position of Element in Sorted Array,43.40%,Medium,65
498,Diagonal Traverse,58.70%,Medium,66
958,Check Completeness of a Binary Tree,56.30%,Medium,67
1216,Valid Palindrome III,50.20%,Hard,68
76,Minimum Window Substring,41.30%,Hard,69
304,Range Sum Query 2D - Immutable,53.60%,Medium,70
1344,Angle Between Hands of a Clock,63.40%,Medium,71
525,Contiguous Array,46.90%,Medium,72
695,Max Area of Island,71.90%,Medium,73
347,Top K Frequent Elements,63.00%,Medium,74
23,Merge k Sorted Lists,51.10%,Hard,75
713,Subarray Product Less Than K,46.50%,Medium,76
346,Moving Average from Data Stream,77.30%,Easy,77
529,Minesweeper,66.10%,Medium,78
865,Smallest Subtree with all the Deepest Nodes,69.60%,Medium,79
1186,Maximum Subarray Sum with One Deletion,42.50%,Medium,80
1539,Kth Missing Positive Number,59.10%,Easy,81
1382,Balance a Binary Search Tree,81.10%,Medium,82
1209,Remove All Adjacent Duplicates in String II,56.70%,Medium,83
490,The Maze,57.00%,Medium,84
224,Basic Calculator,42.70%,Hard,85
212,Word Search II,36.10%,Hard,86
921,Minimum Add to Make Parentheses Valid,75.10%,Medium,87
721,Accounts Merge,56.60%,Medium,88
332,Reconstruct Itinerary,43.50%,Hard,89
1004,Max Consecutive Ones III,62.80%,Medium,90
282,Expression Add Operators,39.40%,Hard,91
273,Integer to English Words,30.20%,Hard,92
494,Target Sum,46.10%,Medium,93
1161,Maximum Level Sum of a Binary Tree,67.40%,Medium,94
223,Rectangle Area,45.50%,Medium,95
139,Word Break,46.30%,Medium,96
894,All Possible Full Binary Trees,82.80%,Medium,97
329,Longest Increasing Path in a Matrix,52.90%,Hard,98
240,Search a 2D Matrix II,51.80%,Medium,99
114,Flatten Binary Tree to Linked List,63.40%,Medium,100
674,Longest Continuous Increasing Subsequence,49.60%,Easy,101
79,Word Search,40.80%,Medium,102
13,Roman to Integer,59.60%,Easy,103
